标题:现在还有啥能直接看磁力链的播放器了吗 	 链接:http://tieba.baidu.com/p/5480253878 	 发帖人:sinrohu 	 发帖时间:2017-12 	 回复数量:103 
标题:小米确实在搞拍照 	 链接:http://tieba.baidu.com/p/5512697847 	 发帖人:来自未来... 	 发帖时间:1-11 	 回复数量:120 
标题:150元组台无指纹基带炸弹6s 	 链接:http://tieba.baidu.com/p/5514435112 	 发帖人:广州幕后... 	 发帖时间:1-13 	 回复数量:84 
标题:苹果莫名其妙扣了18元什么鬼？ 	 链接:http://tieba.baidu.com/p/5514790981 	 发帖人:小蚊子的... 	 发帖时间:1-13 	 回复数量:21 
标题:IPX and Note8年度旗舰抗冰冻对决 	 链接:http://tieba.baidu.com/p/5431353309 	 发帖人:Bull 	 发帖时间:2017-11 	 回复数量:40 
标题:大家觉得买艾利和还是索尼的mp3？ 	 链接:http://tieba.baidu.com/p/2282956989 	 发帖人:dywlove1 	 发帖时间:2013-04 	 回复数量:78 
标题:845与835对比图 	 链接:http://tieba.baidu.com/p/5468931043 	 发帖人:京东商城 	 发帖时间:2017-12 	 回复数量:109 
标题:震惊！移动为拉拢客户竟然做出这样的妥协！ 	 链接:http://tieba.baidu.com/p/5514715889 	 发帖人:初见 	 发帖时间:1-13 	 回复数量:89 
标题:note3阳光底下屏幕泛白，黑色字体都表白 	 链接:http://tieba.baidu.com/p/5515637772 	 发帖人:jj爱的100天 	 发帖时间:12:30 	 回复数量:16 
标题:联通这瘪犊子是在玩猜字谜游戏嘛，改了一个字 	 链接:http://tieba.baidu.com/p/5515512270 	 发帖人:专业航母... 	 发帖时间:09:58 	 回复数量:10 
标题:有没有老哥对投影有研究的，怎么强制变成4:3？ 	 链接:http://tieba.baidu.com/p/5515020656 	 发帖人:Umi 	 发帖时间:1-13 	 回复数量:17 
标题:讲个问题，晚上个室友玩百万英雄，两台荣耀8 我一个肾7 一台 	 链接:http://tieba.baidu.com/p/5515266943 	 发帖人:东京小助... 	 发帖时间:1-13 	 回复数量:18 
标题:4K广色域工作站——dell precision 5510 开箱小测 	 链接:http://tieba.baidu.com/p/4650654817 	 发帖人:我真不是... 	 发帖时间:2016-07 	 回复数量:112 
标题:求助，小米5电量显示不准，充电不显示 	 链接:http://tieba.baidu.com/p/5515610414 	 发帖人:梦の幻之... 	 发帖时间:11:57 	 回复数量:12 
标题:660和820一样烫了吗？ 	 链接:http://tieba.baidu.com/p/5515399842 	 发帖人:被血淹死的 	 发帖时间:04:16 	 回复数量:43 
标题:关于"猴"的二三事 	 链接:http://tieba.baidu.com/p/5514342221 	 发帖人:海蓝的钢... 	 发帖时间:1-13 	 回复数量:230 
标题:震惊！华为给Mate8 vulkan驱动了 	 链接:http://tieba.baidu.com/p/5515688312 	 发帖人:happyTomhapp 	 发帖时间:13:29 	 回复数量:6 
标题:公道自在人心，收土垃圾，结果差点翻车 	 链接:http://tieba.baidu.com/p/5505740619 	 发帖人:帝国农业... 	 发帖时间:1-6 	 回复数量:178 
标题:今天老哥要创下中关村 	 链接:http://tieba.baidu.com/p/5514830911 	 发帖人:cygaiwx 	 发帖时间:1-13 	 回复数量:24 
标题:深夜水一帖，各位觉得国内老演员演技最好的是哪位啊？ 	 链接:http://tieba.baidu.com/p/5514338997 	 发帖人:被血淹死的 	 发帖时间:1-13 	 回复数量:301 
标题:魅族采用这个方案？ 	 链接:http://tieba.baidu.com/p/5494744882 	 发帖人:物欣 	 发帖时间:2017-12 	 回复数量:85 
标题:请问老哥们这种情况能保修吗？ 	 链接:http://tieba.baidu.com/p/5515595686 	 发帖人:仙剑座 	 发帖时间:11:40 	 回复数量:18 
标题:有没有懂私人影院技术方案的老哥？ 	 链接:http://tieba.baidu.com/p/5507684502 	 发帖人:brasel 	 发帖时间:1-7 	 回复数量:151 
标题:【说说】上树mix2后对MIUI的一点感受吧 	 链接:http://tieba.baidu.com/p/5514981401 	 发帖人:度娘上不起 	 发帖时间:1-13 	 回复数量:102 
标题:360N5s半边屏幕失灵怎么办 	 链接:http://tieba.baidu.com/p/5515680301 	 发帖人:芥末甜小虾 	 发帖时间:13:21 	 回复数量:1 
标题:求大家给想个办法，ROOT个电视，小半年前买了个乐视 x4 	 链接:http://tieba.baidu.com/p/5515559565 	 发帖人:yangzhuang0321 	 发帖时间:10:57 	 回复数量:8 
标题:高通下一代快充qc5.0！ 	 链接:http://tieba.baidu.com/p/5514067831 	 发帖人:墨香画离愁 	 发帖时间:1-12 	 回复数量:58 
标题:日本属于运营商主导消费者购买手机，那么到底会有多少补贴？ 	 链接:http://tieba.baidu.com/p/5514845256 	 发帖人:药王创真 	 发帖时间:1-13 	 回复数量:28 
标题:ipad pro 10.5续航尿崩。王者荣耀高帧率开录屏，1 	 链接:http://tieba.baidu.com/p/5515433233 	 发帖人:论酱12 	 发帖时间:07:06 	 回复数量:18 
标题:有没有用魅蓝x的老哥怎么样啊这机子   这u够用吗  手持3 	 链接:http://tieba.baidu.com/p/5515625225 	 发帖人:水深两浔 	 发帖时间:12:15 	 回复数量:46 
标题:小米note3夜景拍照 	 链接:http://tieba.baidu.com/p/5502512184 	 发帖人:力力尽力 	 发帖时间:1-3 	 回复数量:27 
标题:打入美国失败 	 链接:http://tieba.baidu.com/p/5509441977 	 发帖人:暮雨方程式 	 发帖时间:1-9 	 回复数量:136 
标题:你们的大王卡有2G全国流量吗 	 链接:http://tieba.baidu.com/p/5515657032 	 发帖人:嘿你的益... 	 发帖时间:12:53 	 回复数量:12 
标题:iphone7plus买32g的够用吗？ 	 链接:http://tieba.baidu.com/p/5512245650 	 发帖人:丶T丨Genius 	 发帖时间:1-11 	 回复数量:90 
标题:最后一次买wp了，这辈子都没机会了 	 链接:http://tieba.baidu.com/p/5514894832 	 发帖人:七块糖 	 发帖时间:1-13 	 回复数量:94 
标题:爱上窒息，渴求价格屠夫假药停卷土重来 	 链接:http://tieba.baidu.com/p/5504958681?fid=2479109 	 发帖人:咸鱼里的... 	 发帖时间:1-5 	 回复数量:120 
标题:荣耀V10屏幕对比坚果Pro2，突然不想说话了 	 链接:http://tieba.baidu.com/p/5470585383 	 发帖人:文艺青年... 	 发帖时间:2017-12 	 回复数量:741 
标题:我发表了一篇图片贴，大伙来看看吧~ 	 链接:http://tieba.baidu.com/p/5515600706 	 发帖人:晓风醉酒 	 发帖时间:11:46 	 回复数量:13 
标题:美帝良心骁龙835笔记本 	 链接:http://tieba.baidu.com/p/5509522249 	 发帖人:屁 	 发帖时间:1-9 	 回复数量:84 
标题:有没有用360n6p的老哥，说一下这个手机咋样。是买小米no 	 链接:http://tieba.baidu.com/p/5515483397 	 发帖人:幽蓝府男爵 	 发帖时间:09:15 	 回复数量:26 
标题:Yes，AMD！美帝良心想居然良心一回——R5 2500U版ideapad 720s 	 链接:http://tieba.baidu.com/p/5514534801 	 发帖人:HatsuneRoy 	 发帖时间:1-13 	 回复数量:204 
标题:小米7在youtube这个视频110W播放了，我火星多久了 	 链接:http://tieba.baidu.com/p/5509367451 	 发帖人:白狗过_隙 	 发帖时间:1-9 	 回复数量:62 
标题:现在想收一个mix一代是不是石乐志？想要一个大屏安卓备用机， 	 链接:http://tieba.baidu.com/p/5514020637 	 发帖人:怯怯的石头 	 发帖时间:1-12 	 回复数量:15 
标题:信仰充值，大法xz开箱！ 	 链接:http://tieba.baidu.com/p/5219206870?fid=2479109 	 发帖人:生生59 	 发帖时间:2017-07 	 回复数量:314 
标题:高通625对比650，全程被吊打。我要这八核有何用？ 	 链接:http://tieba.baidu.com/p/5290001534 	 发帖人:一文钱吃饱 	 发帖时间:2017-08 	 回复数量:380 
标题:水凝膜是什么鬼？还那么贵15块钱，。    mix2几乎是无 	 链接:http://tieba.baidu.com/p/5507089585 	 发帖人:河南人黑... 	 发帖时间:1-7 	 回复数量:166 
标题:ipad 10.5显示dci p3测试图 	 链接:http://tieba.baidu.com/p/5515379101 	 发帖人:APFSDS 	 发帖时间:03:01 	 回复数量:23 
标题:2018款XPS15出来了，2in1， Kaby Lake-G 	 链接:http://tieba.baidu.com/p/5512308732 	 发帖人:倚树桑痕 	 发帖时间:1-11 	 回复数量:127 
标题:荣耀9青春版 	 链接:http://tieba.baidu.com/p/5475352417 	 发帖人:内心深处... 	 发帖时间:2017-12 	 回复数量:108 
标题:Oppo R11 plus 骁龙660的CPU与GPU性能测试 	 链接:http://tieba.baidu.com/p/5219144818 	 发帖人:御剑检察官 	 发帖时间:2017-07 	 回复数量:456 
标题:测试联通3元不限量卡40G限速情况 	 链接:http://tieba.baidu.com/p/5470175609 	 发帖人:淡忘灬伤痛 	 发帖时间:2017-12 	 回复数量:186 
标题:有A73又如何 还不是G71 MP1 	 链接:http://tieba.baidu.com/p/5515073538 	 发帖人:依法行使... 	 发帖时间:1-13 	 回复数量:101 
标题:wp7吧昵称灌水专用贴 	 链接:http://tieba.baidu.com/p/5208409615 	 发帖人:青春 	 发帖时间:2017-07 	 回复数量:7047 
标题:麻烦大佬给推荐个电视~~ 	 链接:http://tieba.baidu.com/p/5514488345 	 发帖人:Fttenage 	 发帖时间:1-13 	 回复数量:29 
标题:华为V9的屏幕，真的是瞎眼啊 	 链接:http://tieba.baidu.com/p/5070569475 	 发帖人:被玩坏的... 	 发帖时间:2017-04 	 回复数量:185 
标题:小米vr竟然用的是821 	 链接:http://tieba.baidu.com/p/5509780384 	 发帖人:魔狱翎 	 发帖时间:1-9 	 回复数量:111 
标题:把广告当新功能？？？ 	 链接:http://tieba.baidu.com/p/5515196222 	 发帖人:耍人 	 发帖时间:1-13 	 回复数量:26 
标题:吊大的来说说，荣耀v10和等于6t选哪个 	 链接:http://tieba.baidu.com/p/5515007678 	 发帖人:叫我爸爸... 	 发帖时间:1-13 	 回复数量:83 
标题:这款电脑怎么样啊？ 	 链接:http://tieba.baidu.com/p/5511651715 	 发帖人:饺子香飘飘 	 发帖时间:1-10 	 回复数量:146 
标题:过年了，求推荐50寸的电视，不用智能的，我有盒子，要给家里人 	 链接:http://tieba.baidu.com/p/5514766829 	 发帖人:巭孬嫑夯... 	 发帖时间:1-13 	 回复数量:16 
标题:iPhone7p与索尼xzp运行国产毒瘤对比（转自b站） 	 链接:http://tieba.baidu.com/p/5225549284 	 发帖人:一文钱吃饱 	 发帖时间:2017-07 	 回复数量:211 
标题:iPhone X/Pixel/三星note5夜景比拼 	 链接:http://tieba.baidu.com/p/5505120670 	 发帖人:左晓伊 	 发帖时间:1-5 	 回复数量:158 
标题:HTC U11eye15号发布 骁龙660+4000mA电池全面屏，这能算水桶机吗 	 链接:http://tieba.baidu.com/p/5514448143 	 发帖人:陈伟930 	 发帖时间:1-13 	 回复数量:99 
标题:做梦也没想到，安卓上竟有apple  music，， 	 链接:http://tieba.baidu.com/p/5348583150 	 发帖人:奔雷决 	 发帖时间:2017-09 	 回复数量:65 
标题:A11调度，性能深度分析，附带A10X 	 链接:http://tieba.baidu.com/p/5418251088 	 发帖人:Howl 	 发帖时间:2017-11 	 回复数量:414 
标题:全面屏为何不能用偏分刘海？ 	 链接:http://tieba.baidu.com/p/5515182514 	 发帖人:sky19881229 	 发帖时间:1-13 	 回复数量:51 
标题:索尼新旗舰将采用 LG的 OLED 	 链接:http://tieba.baidu.com/p/5515339422 	 发帖人:culchur 	 发帖时间:01:27 	 回复数量:74 
标题:每年A8都感觉缺点什么 今年其实外观不错 	 链接:http://tieba.baidu.com/p/5514453163 	 发帖人:soryer 	 发帖时间:1-13 	 回复数量:106 
标题:求助：iphone的闪光灯不亮是系统的设置还是硬件问题 	 链接:http://tieba.baidu.com/p/5399547906 	 发帖人:潇洒de一挥 	 发帖时间:2017-10 	 回复数量:16 
标题:京东到底有什么权利每次都修改设置？ 	 链接:http://tieba.baidu.com/p/5513634631 	 发帖人:抽刀断水f... 	 发帖时间:1-12 	 回复数量:50 
标题:看到关于红米5和红米5plus流畅度的争论，我有个不成熟的想法 	 链接:http://tieba.baidu.com/p/5514932834 	 发帖人:ufeishiwodi 	 发帖时间:1-13 	 回复数量:39 
标题:黑卡5上手随拍，高歌索尼大法好 	 链接:http://tieba.baidu.com/p/5500189299 	 发帖人:沉醉不知... 	 发帖时间:1-1 	 回复数量:68 
标题:移动电源输出5V3A是什么标准的快充？ 	 链接:http://tieba.baidu.com/p/5515602577 	 发帖人:jaywenbeta 	 发帖时间:11:48 	 回复数量:5 
标题:NOKIA 6 第二代到手 	 链接:http://tieba.baidu.com/p/5513717870 	 发帖人:追逐幻影丶 	 发帖时间:1-12 	 回复数量:84 
标题:魅族pro7plus现在入手咋样？价格怎么样 	 链接:http://tieba.baidu.com/p/5499296694 	 发帖人:有梦为马 	 发帖时间:2017-12 	 回复数量:137 
标题:英特尔八代标压I7参数规格出来了 一大管牙膏 	 链接:http://tieba.baidu.com/p/5501631539 	 发帖人:帅帅小笨瓜 	 发帖时间:1-3 	 回复数量:180 
标题:马桶10拍的的照片，有超级夜景和hdr。在桥上试了下超级夜景 	 链接:http://tieba.baidu.com/p/5457268018 	 发帖人:老M 	 发帖时间:2017-11 	 回复数量:176 
标题:老罗的耻辱-二手苹果mx3体验 	 链接:http://tieba.baidu.com/p/5515539648 	 发帖人:打了一个... 	 发帖时间:10:33 	 回复数量:17 
标题:某楠又在知乎上怼小米，捧三星了 	 链接:http://tieba.baidu.com/p/5331143858 	 发帖人:恭添荣喜... 	 发帖时间:2017-09 	 回复数量:135 
标题:骁龙808还能用吗，看中了夏普家的小屏503SH，简直美哭了 	 链接:http://tieba.baidu.com/p/5400350712 	 发帖人:luckyyue30 	 发帖时间:2017-10 	 回复数量:49 
标题:洋垃圾开箱 	 链接:http://tieba.baidu.com/p/5515564062 	 发帖人:乐视产品... 	 发帖时间:11:02 	 回复数量:27 
标题:mix2 粤利粤 	 链接:http://tieba.baidu.com/p/5492530049 	 发帖人:马辰木 	 发帖时间:2017-12 	 回复数量:122 
标题:乐之邦type c转3.5音频线首开 	 链接:http://tieba.baidu.com/p/5500332531 	 发帖人:同乐破存钱 	 发帖时间:1-1 	 回复数量:181 
标题:一加五T是不是没有办法通过改系统文件实现去除虚拟按键 	 链接:http://tieba.baidu.com/p/5515109915 	 发帖人:浅羽_g 	 发帖时间:1-13 	 回复数量:6 
标题:魅族 pro7plus疑似限制 	 链接:http://tieba.baidu.com/p/5259655583 	 发帖人:宾夸蹄 	 发帖时间:2017-08 	 回复数量:75 
标题:卡贴iPhone X已到 	 链接:http://tieba.baidu.com/p/5438805595 	 发帖人:1025247509 	 发帖时间:2017-11 	 回复数量:170 
标题:[听松杂谈] 世界从不缺乏创意，只是并非所有的创意都有市场 	 链接:http://tieba.baidu.com/p/5515355596 	 发帖人:卧楼听松 	 发帖时间:01:59 	 回复数量:47 
标题:华为mate10，126版本体验。85别删啊！ 	 链接:http://tieba.baidu.com/p/5510602332 	 发帖人:雨辰252 	 发帖时间:1-10 	 回复数量:183 
标题:闲鱼Xperia XZ的车到了 	 链接:http://tieba.baidu.com/p/5513521776 	 发帖人:Sakura嘀咕火兔 	 发帖时间:1-12 	 回复数量:114 
标题:有没有锁定手机几十分钟的app啊？ 	 链接:http://tieba.baidu.com/p/5515464146 	 发帖人:都是126害的 	 发帖时间:08:38 	 回复数量:32 
标题:索尼有病系列 	 链接:http://tieba.baidu.com/p/5514784953 	 发帖人:多久没爱... 	 发帖时间:1-13 	 回复数量:69 
标题:降频6s崩成狗，我该拿什么去拯救。 	 链接:http://tieba.baidu.com/p/5513912869 	 发帖人:暴怒 	 发帖时间:1-12 	 回复数量:151 
标题:我把果五的10.3.3越狱到8.4.1后。。。 	 链接:http://tieba.baidu.com/p/5515086306 	 发帖人:卤猫oamun 	 发帖时间:1-13 	 回复数量:21 
标题:vivo真把屏下指纹装上了 	 链接:http://tieba.baidu.com/p/5510924891 	 发帖人:来自未来... 	 发帖时间:1-10 	 回复数量:207 
标题:我滴龟龟，为什么我的m6这么热 	 链接:http://tieba.baidu.com/p/5515099918 	 发帖人:李文翔2 	 发帖时间:1-13 	 回复数量:46 
标题:刚从小米旗舰店回来，红米5plus的屏幕素质比想象中好太多 	 链接:http://tieba.baidu.com/p/5472361682 	 发帖人:扎得万斯卡 	 发帖时间:2017-12 	 回复数量:379 
标题:有没有用tab s3的大佬 	 链接:http://tieba.baidu.com/p/5514973653 	 发帖人:心情未必晴 	 发帖时间:1-13 	 回复数量:15 
标题:这些图都是7吧里的吧 	 链接:http://tieba.baidu.com/p/5515505165 	 发帖人:吧950 	 发帖时间:09:48 	 回复数量:15 
标题:有车吗，能带带不。代购价格好贵。 	 链接:http://tieba.baidu.com/p/5513277511 	 发帖人:七块糖 	 发帖时间:1-12 	 回复数量:69 
标题:理性讨论 米6和荣耀9 	 链接:http://tieba.baidu.com/p/5515030709 	 发帖人:印度布朗... 	 发帖时间:1-13 	 回复数量:70 
标题:斐讯k2p 	 链接:http://tieba.baidu.com/p/5509341727 	 发帖人:1257144949TYC 	 发帖时间:1-9 	 回复数量:208 
标题:骁龙625（不是652）吊打820？ 	 链接:http://tieba.baidu.com/p/4825302099 	 发帖人:n1141359233 	 发帖时间:2016-10 	 回复数量:91 
标题:600块钱的3+32的魅蓝note6能不能上 	 链接:http://tieba.baidu.com/p/5515274263 	 发帖人:凰琦儿 	 发帖时间:1-13 	 回复数量:26 
标题:蚂蚁宝卡免流增加了 	 链接:http://tieba.baidu.com/p/5515536987 	 发帖人:amd缺钱了 	 发帖时间:10:30 	 回复数量:6 
标题:一加5t详细评测。到底该不该加钱呢？看完自有答案。 	 链接:http://tieba.baidu.com/p/5501054607 	 发帖人:雨辰252 	 发帖时间:1-2 	 回复数量:293 
标题:魅族pro6p为何NFC是阉割版的？ 	 链接:http://tieba.baidu.com/p/5427010713 	 发帖人:chartonzz 	 发帖时间:2017-11 	 回复数量:23 
标题:这个fcm推送是什么？ 	 链接:http://tieba.baidu.com/p/5479380743 	 发帖人:晴时亦明 	 发帖时间:2017-12 	 回复数量:22 
标题:终是没能躲过 	 链接:http://tieba.baidu.com/p/5360139363 	 发帖人:不彼晨风 	 发帖时间:2017-10 	 回复数量:95 
标题:我的手机是不是坏了啊，电池好像。。。 	 链接:http://tieba.baidu.com/p/5468360579 	 发帖人:逆境092 	 发帖时间:2017-12 	 回复数量:84 
标题:感觉守望先锋这种游戏还没火多久呢就凉了，连带王者军团这种山寨 	 链接:http://tieba.baidu.com/p/5514232662 	 发帖人:莞尔一笑44 	 发帖时间:1-12 	 回复数量:106 
标题:twitch上owl人数只有csgo major一半 	 链接:http://tieba.baidu.com/p/5515386373 	 发帖人:日渐颓废... 	 发帖时间:03:24 	 回复数量:17 
标题:为什么猴王每次都能请到这么可爱的妹子做模特 	 链接:http://tieba.baidu.com/p/5317689240 	 发帖人:⑨的哲学... 	 发帖时间:2017-09 	 回复数量:193 
标题:淘宝1999note3，看着像别人退货的 	 链接:http://tieba.baidu.com/p/5489321649 	 发帖人:我在地球... 	 发帖时间:2017-12 	 回复数量:80 
标题:今天打算把我的手机壳洗一下，因 	 链接:http://tieba.baidu.com/p/5333244761 	 发帖人:大魔法师 	 发帖时间:2017-09 	 回复数量:76 
标题:想问下荣耀V10会不会拖影 字体滑动会不会发虚 	 链接:http://tieba.baidu.com/p/5463734487 	 发帖人:大锅锅 	 发帖时间:2017-12 	 回复数量:33 
标题:iphone5s要换电池了...有没有推荐的 	 链接:http://tieba.baidu.com/p/5515194230 	 发帖人:依然藤原... 	 发帖时间:1-13 	 回复数量:8 
标题:小米客服的一些情况。 	 链接:http://tieba.baidu.com/p/5514917723 	 发帖人:力力尽力 	 发帖时间:1-13 	 回复数量:35 
标题:这样就很舒服 	 链接:http://tieba.baidu.com/p/5319131755 	 发帖人:阿森纳范... 	 发帖时间:2017-09 	 回复数量:70 
标题:安卓多任务的那个锁，不会还有人不懂吧？ 	 链接:http://tieba.baidu.com/p/5515051379 	 发帖人:迷心Lovesnow 	 发帖时间:1-13 	 回复数量:25 
标题:分享：#杂机哙#2017年国产旗舰手机大战，你认为哪个手机最垃圾？ 	 链接:http://tieba.baidu.com/p/5515526075 	 发帖人:帅调哥 	 发帖时间:10:16 	 回复数量:0 
标题:荣耀手机怎么取消变化的锁屏图画 	 链接:http://tieba.baidu.com/p/5515516427 	 发帖人:强悍的显卡 	 发帖时间:10:04 	 回复数量:5 
标题:听说骁龙670的GPU是新架构啊，能否打平530？ 	 链接:http://tieba.baidu.com/p/5514712776 	 发帖人:mtkp50 	 发帖时间:1-13 	 回复数量:120 
标题:斐讯这次真要跑路了？ 	 链接:http://tieba.baidu.com/p/5512860612 	 发帖人:penny便士penny 	 发帖时间:1-11 	 回复数量:170 
标题:iPhone每次开机以后都不会自动链接Wifi吗？ 	 链接:http://tieba.baidu.com/p/5298661961 	 发帖人:飞漫思悟雨 	 发帖时间:2017-08 	 回复数量:28 
标题:听说这里high hand 多，咨询一下 	 链接:http://tieba.baidu.com/p/5515452441 	 发帖人:三頋茅房 	 发帖时间:08:11 	 回复数量:8 
标题:有用谷歌相机的没 	 链接:http://tieba.baidu.com/p/3345377090 	 发帖人:XFrost 	 发帖时间:2014-10 	 回复数量:32 
标题:为什么我用新版本的谷歌相机特别暗？ 	 链接:http://tieba.baidu.com/p/5514926211 	 发帖人:柳生小弥六 	 发帖时间:1-13 	 回复数量:17 
标题:想问下下一波新机在几月份发布？现在急着换手机，可惜没有中意的 	 链接:http://tieba.baidu.com/p/5515469481 	 发帖人:从来 	 发帖时间:08:50 	 回复数量:17 
标题:不将就! OPPO R11S升级了8.1奥利奥~ 	 链接:http://tieba.baidu.com/p/5513838832 	 发帖人:steve__d 	 发帖时间:1-12 	 回复数量:121 
标题:今天又去体验了一下mate10,卡的飞起 	 链接:http://tieba.baidu.com/p/5514791613 	 发帖人:李小兔950106 	 发帖时间:1-13 	 回复数量:91 
标题:红米5plus的屏幕是84色域的，有没有大神知道啥牌子的屏幕 	 链接:http://tieba.baidu.com/p/5469412998 	 发帖人:快乐草艹草 	 发帖时间:2017-12 	 回复数量:119 
标题:摸了摸黑色xplay6，这屏幕比s7e的还爽 	 链接:http://tieba.baidu.com/p/5069947539 	 发帖人:wyzxmxm 	 发帖时间:2017-04 	 回复数量:21 
标题:电信4g不好吗？ 	 链接:http://tieba.baidu.com/p/5514460487 	 发帖人:尖刀下的... 	 发帖时间:1-13 	 回复数量:21 
标题:win10寨板开机冲了一晚上电，没反应了开机键没有反应再插充 	 链接:http://tieba.baidu.com/p/5507619036 	 发帖人:五九式... 	 发帖时间:1-7 	 回复数量:15 
标题:小米的门禁模拟出来了 	 链接:http://tieba.baidu.com/p/5514442132 	 发帖人:雷军 	 发帖时间:1-13 	 回复数量:19 
标题:湖南移动良心套餐 	 链接:http://tieba.baidu.com/p/5484339645 	 发帖人:魅族演唱会 	 发帖时间:2017-12 	 回复数量:47 
标题:今天想给大家讲一个故事 	 链接:http://tieba.baidu.com/p/5515113803 	 发帖人:明月几时... 	 发帖时间:1-13 	 回复数量:7 
标题:145的最终结果，我承认，之前是摆得太丑了 	 链接:http://tieba.baidu.com/p/5506919587 	 发帖人:钟文泽最... 	 发帖时间:1-7 	 回复数量:61 
标题:话说你们猴王的商店还能领积分么，今天起来看木有了 	 链接:http://tieba.baidu.com/p/5515467906 	 发帖人:那份淡雅... 	 发帖时间:08:46 	 回复数量:4 
标题:果粉知道的那些事… 	 链接:http://tieba.baidu.com/p/5473675891 	 发帖人:二氟化氦 	 发帖时间:2017-12 	 回复数量:290 
标题:广发信用卡的app发现精彩打不开大家有解决的办法吗 	 链接:http://tieba.baidu.com/p/5504565025 	 发帖人:lyxcell 	 发帖时间:1-5 	 回复数量:14 
标题:联通包场免费看无问西东 	 链接:http://tieba.baidu.com/p/5514803261 	 发帖人:soso就是me 	 发帖时间:1-13 	 回复数量:12 
标题:畅想2030AI之年 	 链接:http://tieba.baidu.com/p/5308218692?fid=2479109 	 发帖人:我是小曰 	 发帖时间:2017-09 	 回复数量:117 
标题:新版猴环？？？ 	 链接:http://tieba.baidu.com/p/5514504791 	 发帖人:俊逸君风 	 发帖时间:1-13 	 回复数量:63 
标题:求助7吧大佬，两台路由器的设置问题 	 链接:http://tieba.baidu.com/p/5515097479 	 发帖人:优乐美再美 	 发帖时间:1-13 	 回复数量:4 
标题:近日引起热议的部分手机App调用获取手机状态权限一事 	 链接:http://tieba.baidu.com/p/5510492759 	 发帖人:ouyang2919 	 发帖时间:1-9 	 回复数量:60 
标题:发个帖问问各位大佬，微信分身版 	 链接:http://tieba.baidu.com/p/5173252114 	 发帖人:快乐草艹草 	 发帖时间:2017-06 	 回复数量:9 
标题:买手机果然不能只看配置 	 链接:http://tieba.baidu.com/p/5515148350 	 发帖人:永隔一江... 	 发帖时间:1-13 	 回复数量:105 
标题:老哥们 老弟固态硬盘炸了 bios里有显示 但是进pe就弹出 	 链接:http://tieba.baidu.com/p/5514305146 	 发帖人:时间煮雨P... 	 发帖时间:1-13 	 回复数量:52 
标题:破解版网易云坏掉了？？ 	 链接:http://tieba.baidu.com/p/5515289207 	 发帖人:androiosymbian 	 发帖时间:00:14 	 回复数量:25 
标题:找个吧友帮忙测下无锁夏普SHL25使用移动4G 	 链接:http://tieba.baidu.com/p/5502287697 	 发帖人:eVaporation 	 发帖时间:1-3 	 回复数量:14 
标题:突然发现吧里基本没人用nfc-sim卡，明明这个开公交卡最方 	 链接:http://tieba.baidu.com/p/5494623691 	 发帖人:白纸Iris 	 发帖时间:2017-12 	 回复数量:155 
标题:将主力机从一加3变成iphone se后，使用一周的感受 	 链接:http://tieba.baidu.com/p/5514592298 	 发帖人:锤子手机... 	 发帖时间:1-13 	 回复数量:231 
标题:想收个lumia的手机玩玩 	 链接:http://tieba.baidu.com/p/5496372505 	 发帖人:书本滑 	 发帖时间:2017-12 	 回复数量:94 
标题:今天，我直接去苏宁易购买了4499的mate10 	 链接:http://tieba.baidu.com/p/5515100977 	 发帖人:无限业力 	 发帖时间:1-13 	 回复数量:54 
标题:当年台湾电子工业怎么干不过三星的 	 链接:http://tieba.baidu.com/p/5514277447 	 发帖人:赛雷妮 	 发帖时间:1-12 	 回复数量:92 
标题:广东联通有没有4G+和VoLTE? 	 链接:http://tieba.baidu.com/p/4949364163 	 发帖人:MisasagiInori 	 发帖时间:2017-01 	 回复数量:79 
标题:开个三星Gear iconX 2018 	 链接:http://tieba.baidu.com/p/5462252081 	 发帖人:晴天太狼 	 发帖时间:2017-12 	 回复数量:132 
标题:所以现在还有什么APP可以模拟机型么 	 链接:http://tieba.baidu.com/p/5515376080 	 发帖人:淤湫 	 发帖时间:02:52 	 回复数量:17 
标题:老哥们htc都用的什么主题 	 链接:http://tieba.baidu.com/p/5515088727 	 发帖人:senju 	 发帖时间:1-13 	 回复数量:27 
标题:现在有可以同时插2张sim卡和一张sd卡的手机吗 	 链接:http://tieba.baidu.com/p/5376589714 	 发帖人:短发控 	 发帖时间:2017-10 	 回复数量:43 
标题:现在有没有什么好玩的app啊，感觉好无聊。现在用贴吧 知乎 	 链接:http://tieba.baidu.com/p/5515094340 	 发帖人:zssm6 	 发帖时间:1-13 	 回复数量:70 
标题:逛苏宁老妈买了个红米5XP，苏宁1299入手说OPPOr11 	 链接:http://tieba.baidu.com/p/5482328055 	 发帖人:みるか 	 发帖时间:2017-12 	 回复数量:48 
标题:驴！驴粉卡9元1G，适合某些特定的用户 	 链接:http://tieba.baidu.com/p/5467874524 	 发帖人:初见 	 发帖时间:2017-12 	 回复数量:145 
标题:6s plus换了诺希的扩容电池，现在重按屏幕有水波纹，难受 	 链接:http://tieba.baidu.com/p/5500949130 	 发帖人:静净镜境 	 发帖时间:1-2 	 回复数量:74 
